"cycle_id","measure_time","measurement_row_n","prefix24_estimate_n","distinct_target_ip_estimate_n","structured_path_nonempty_row_n","reached_target_row_n","responded_hop_sum","star_hop_sum","target_hash_xor","target_hash_sum","measurement_hash_xor","measurement_hash_sum"
202406282328,"2024-06-28 15:28:49.000000",170855,42802,170968,170855,20990,1256468,238687,2899458358134996875,17363423459098253137,11987454576763671555,16096469796509012319
202406290028,"2024-06-28 16:28:49.000000",170811,42802,171504,170811,20410,1253687,235406,14283837359956965031,3705578718982599437,7613386371287878740,15188380470791351888
202406290128,"2024-06-28 17:28:49.000000",170883,42802,170876,170883,20674,1251880,236637,11962955213956398263,5999489196309346179,18148269405664127514,3309809630431735286
202406290228,"2024-06-28 18:28:49.000000",170828,42802,170395,170828,20651,1251973,235860,17971653539277816803,4119823135351383723,11321863579313952882,6784517977408105624
202406290328,"2024-06-28 19:28:49.000000",170944,42802,171267,170944,20467,1260022,229376,8094092311425774223,14658490560556802261,16853910483681530548,5131837220106644072
202406290428,"2024-06-28 20:28:49.000000",170846,42802,170010,170846,20626,1249378,238597,17792720781154898010,12848462857713119336,16522679303592561447,7157909492330803887
202406290528,"2024-06-28 21:28:49.000000",170858,42802,170189,170858,21216,1251833,240271,12458736971283951973,18157898884956428727,14609805966273804687,16815493274277934897
202406290628,"2024-06-28 22:28:49.000000",170822,42802,170534,170822,21239,1251089,244385,3166398375558971535,10265137363370478505,15678148526554810488,1491802649325444722
202406290728,"2024-06-28 23:28:49.000000",170851,42802,170164,170851,21153,1256318,239287,15236913461084705178,11688028662212110130,2732023424411916742,6001755430560378634
202406291128,"2024-06-29 03:28:49.000000",170806,42802,171138,170806,22649,1252883,250216,8033991614550204224,7632558456216716970,5306459070326571983,8182357705311819893
202406291228,"2024-06-29 04:28:49.000000",170751,42802,171245,170751,22742,1250855,255536,7775493695245922363,10230559395172961611,10958828475581314003,8426738288288793775
202406291328,"2024-06-29 05:28:49.000000",170857,42802,170435,170857,21636,1256352,244468,1129064121791542526,6352557338494858984,11898725642470936834,1307519179264017420
202406291428,"2024-06-29 06:28:49.000000",170869,42802,171097,170869,21494,1254434,246329,4051804766635275479,2719684533192471827,14131832596336718501,3115049387834736693
202406291528,"2024-06-29 07:28:49.000000",170722,42802,170803,170722,21137,1254053,245591,14715193947374485437,236031876980330971,10944532730306675085,11168644213341903763
202406291628,"2024-06-29 08:28:49.000000",170873,42802,170902,170873,21149,1246923,249728,11949738078449162047,16976415184718739597,6591008308091500186,14248482402707550676
202406291728,"2024-06-29 09:28:49.000000",170875,42802,170505,170875,21416,1250657,247227,13631489950077313945,4004739994795003565,12483049736371765922,11687100337059591464
202406291828,"2024-06-29 10:28:49.000000",170837,42802,170850,170837,21274,1249599,242054,2342451586029899491,10402642468276609233,9609523112389908994,4180687681057692002
202406291928,"2024-06-29 11:28:49.000000",170879,42802,170832,170879,20999,1254314,238427,3986896931486442074,10221504041598520036,17870368293343236902,5834339573075310994
202406292028,"2024-06-29 12:28:49.000000",170858,42802,170589,170858,20976,1246784,242045,4420114923342783157,12795933632258759361,15449364652921624801,13988043463971578171
202406292128,"2024-06-29 13:28:49.000000",170842,42802,171304,170842,20990,1251144,245707,9407871544316220246,16680837630831339040,3310504649644734321,5395865160444853287
202406292228,"2024-06-29 14:28:49.000000",170829,42802,170149,170829,20805,1248278,243813,4166837575572611073,2197791405058041017,14244698529571705345,16111700625591872083
202406292328,"2024-06-29 15:28:49.000000",170864,42802,170939,170864,20680,1257576,233503,17643213920311534476,13260562348929849340,1913687101883849532,7636202748036960948
202406300028,"2024-06-29 16:28:49.000000",170875,42802,170622,170875,20276,1252644,237292,4460310881393084923,17852536160218640029,16039590801016045475,6309067364570921983
202406300128,"2024-06-29 17:28:49.000000",170866,42802,170692,170866,20600,1259881,233821,16004677840472026800,1622003325181561226,12802218402439253569,12238798737053514411
202406300228,"2024-06-29 18:28:49.000000",170742,42802,170303,170742,20592,1250835,239944,1347576080062527976,12418862038650365984,2896649288478379967,16927983030864275251
202406300328,"2024-06-29 19:28:49.000000",170897,42802,170972,170897,20586,1256232,233180,1535648419603720711,1592837990529753003,9651233899172997654,2608195567355694592
202406300428,"2024-06-29 20:28:49.000000",170907,42802,171013,170907,20716,1255614,235470,3088746726506815918,5202057262944780024,8781137592776559255,3403979588496492663
202406300528,"2024-06-29 21:28:49.000000",170854,42802,170854,170854,20765,1248593,244666,18263321963072358110,1814012079926226192,1234978258303838062,14830590283594292998
202406300628,"2024-06-29 22:28:49.000000",170851,42802,171094,170851,20879,1247071,247151,11860476155869770516,15087452318515306014,12924530269456605638,9772447655003267932
202406300728,"2024-06-29 23:28:49.000000",170811,42802,170274,170811,21358,1247235,247685,11217987029212725022,9414454646761902706,2814273101152787443,13955765355972630589
202406300828,"2024-06-30 00:28:49.000000",170852,42802,171689,170852,21098,1249338,252346,6917158098905045384,16459265422119696028,14268883904772639137,1006594752469529633
