ip,prefix24,oblast,power_availability,normal_availability,itdk_202408_T,own_traceroute_intermediate,first_seen,last_seen,intermediate_observation_n,terminal_non_target_observation_n,target_address_observation_n,hop_position_min,hop_position_max,frozen_own_traceroute_intermediate,rebuilt_own_traceroute_intermediate,caida_itdk_202408_transit
77.52.199.245,77.52.199.0,Dnipropetrovsk Oblast,1.0,1.0,0,1,2024-06-23 04:33:25.000000,2025-01-09 06:33:28.000000,34,107,71,5.0,9.0,1,1,0
77.52.199.77,77.52.199.0,Dnipropetrovsk Oblast,1.0,1.0,0,1,2024-06-22 11:37:44.000000,2025-01-09 09:33:28.000000,46,77,63,5.0,18.0,1,1,0
77.52.200.1,77.52.200.0,Zaporizhzhia Oblast,1.0,0.9375,0,1,2024-06-22 08:37:17.000000,2025-01-08 13:33:27.000000,56,281,98,5.0,15.0,1,1,0
77.52.200.10,77.52.200.0,Odesa Oblast,0.8666666666666667,0.9416666666666667,1,1,2024-06-22 08:55:46.000000,2025-01-09 14:52:55.000000,475698,121452,97,6.0,11.0,1,1,1
77.52.200.125,77.52.200.0,Dnipropetrovsk Oblast,1.0,1.0,1,1,2024-06-22 08:37:17.000000,2025-01-09 14:33:28.000000,10972,160,73,5.0,10.0,1,1,1
77.52.200.126,77.52.200.0,Dnipropetrovsk Oblast,1.0,0.9519230769230769,1,1,2024-06-22 08:37:17.000000,2025-01-09 14:33:28.000000,22147,8944,57,6.0,32.0,1,1,1
77.52.200.137,77.52.200.0,Dnipropetrovsk Oblast,1.0,1.0,0,1,2024-06-22 10:37:33.000000,2025-01-06 06:33:27.000000,51,68,59,6.0,8.0,1,1,0
77.52.200.189,77.52.200.0,Dnipropetrovsk Oblast,1.0,1.0,0,1,2024-06-23 21:33:25.000000,2025-01-08 11:33:31.000000,19,104,74,6.0,9.0,1,1,0
77.52.200.213,77.52.200.0,Dnipropetrovsk Oblast,1.0,1.0,0,1,2024-06-26 17:33:26.000000,2025-01-08 20:33:28.000000,63,70,91,5.0,12.0,1,1,0
77.52.200.221,77.52.200.0,Dnipropetrovsk Oblast,1.0,1.0,0,1,2024-06-25 01:33:25.000000,2025-01-09 12:33:28.000000,61,76,78,5.0,10.0,1,1,0
77.52.200.237,77.52.200.0,Dnipropetrovsk Oblast,1.0,1.0,0,1,2024-06-24 14:33:25.000000,2025-01-08 04:33:35.000000,39,64,68,5.0,10.0,1,1,0
77.52.200.77,77.52.200.0,Zaporizhzhia Oblast,1.0,1.0,0,1,2024-06-26 01:33:24.000000,2025-01-08 18:33:27.000000,66,74,57,6.0,12.0,1,1,0
77.52.200.9,77.52.200.0,Odesa Oblast,0.9,0.9583333333333334,1,1,2024-06-22 08:55:46.000000,2025-01-09 14:52:55.000000,556968,24933,63,5.0,11.0,1,1,1
77.52.201.121,77.52.201.0,Dnipropetrovsk Oblast,1.0,1.0,1,1,2024-06-23 00:33:25.000000,2025-01-09 05:33:29.000000,67,73,79,5.0,13.0,1,1,1
77.52.201.173,77.52.201.0,Dnipropetrovsk Oblast,1.0,1.0,0,1,2024-06-22 11:37:44.000000,2025-01-09 06:33:28.000000,55,75,71,5.0,10.0,1,1,0
77.52.201.25,77.52.201.0,Dnipropetrovsk Oblast,1.0,0.9903846153846154,0,1,2024-06-24 21:33:24.000000,2025-01-09 08:33:32.000000,58,93,79,5.0,12.0,1,1,0
77.52.203.169,77.52.203.0,Dnipropetrovsk Oblast,1.0,1.0,1,1,2024-06-23 12:33:25.000000,2025-01-07 14:33:29.000000,48,79,80,5.0,9.0,1,1,1
77.52.203.229,77.52.203.0,Dnipropetrovsk Oblast,1.0,1.0,0,1,2024-06-22 10:37:33.000000,2025-01-09 14:33:28.000000,57,77,67,5.0,9.0,1,1,0
77.52.203.233,77.52.203.0,Dnipropetrovsk Oblast,1.0,1.0,0,1,2024-06-23 10:33:24.000000,2025-01-09 12:33:28.000000,43,369,78,5.0,11.0,1,1,0
77.52.204.221,77.52.204.0,Dnipropetrovsk Oblast,1.0,1.0,1,1,2024-06-24 10:33:25.000000,2024-12-02 02:33:27.000000,44,76,59,5.0,8.0,1,1,1
77.52.204.73,77.52.204.0,Zakarpattia Oblast,1.0,1.0,0,1,2024-06-22 08:37:17.000000,2025-01-08 18:33:27.000000,52,61,83,5.0,11.0,1,1,0
77.52.204.85,77.52.204.0,Dnipropetrovsk Oblast,1.0,0.9903846153846154,0,1,2024-06-23 10:33:24.000000,2025-01-09 01:33:29.000000,63,67,67,5.0,18.0,1,1,0
77.52.205.189,77.52.205.0,Dnipropetrovsk Oblast,1.0,1.0,1,1,2024-06-23 09:33:24.000000,2025-01-09 14:51:34.000000,9803,720,73,5.0,9.0,1,1,1
77.52.205.190,77.52.205.0,Dnipropetrovsk Oblast,1.0,1.0,1,1,2024-07-07 23:50:23.000000,2025-01-09 14:51:34.000000,155,9836,75,7.0,11.0,1,1,1
